,source,target,value
233,Hermione,Weasley,25
234,Ron,two,106
235,Ginny,two,9
236,Ginny,Hermione,47
237,Fleur,Weasley,78
238,Fleur,Harry,93
239,Gabrielle,Harry,6
240,Fleur,Fleur,3
241,Bill,Weasley,71
242,Ginny,Weasley,96
243,Fleur,Ginny,35
244,Bill,Ginny,28
245,Hermione,Ron,376
246,Bill,Harry,58
247,Bill,Ron,24
248,Fleur,Ron,30
249,Moaning,Ron,4
250,Ginny,Moaning,6
251,Harry,Moaning,20
252,Ron,one,73
253,Bellatrix,Ron,4
254,Harry,Lupin,185
255,Lupin,Ron,22
256,Ginny,Ginny,41
257,Fred,Harry,69
258,Fred,George,38
259,Fleur,Fred,1
260,Fred,Ron,49
261,George,Harry,50
262,George,Ron,42
263,Percy,Ron,16
264,Harry,Percy,40
265,Hermione,three,9
266,one,one,14
267,O.W.L.,Ron,9
268,Bill,Fleur,86
269,Harry,McGonagall,182
270,Fleur,three,2
271,Ron,three,22
272,Weasley,two,11
273,Hermione,two,14
274,George,Ginny,25
275,Harry,Remus,13
276,Sirius,Weasley,7
277,Florean,Harry,1
278,Bill,Florean,4
279,Florean,Weasley,8
280,Fleur,Florean,3
281,Hogwarts,Lupin,8
282,Charlie,Harry,5
283,Charlie,Ron,9
284,Bill,Hermione,5
285,Fleur,Hermione,5
286,Arkie,Harry,4
287,Arkie,Bill,5
288,Ministry,Weasley,18
289,Ministry,two,5
290,Rubeus,Weasley,4
291,Harry,Rubeus,4
292,Dumbledore,Ministry,18
293,Ministry,Molly,1
294,Harry,Tom,61
295,Hagrid,Tom,14
296,Tom,Tom,7
297,Arthur,Tom,1
298,Bellatrix,Weasley,2
299,Weasley,three,9
300,Hagrid,three,22
301,Hagrid,Weasley,18
302,Molly,three,1
303,Hagrid,Ron,69
304,Hagrid,Madam,5
305,Ginny,Molly,1
306,Harry,Madam,45
307,Hagrid,Molly,1
308,Madam,Ron,1
309,Madam,Weasley,1
310,Hagrid,Hermione,39
311,Draco,Madam,4
312,Harry,Malfoy,934
313,Malfoy,Ron,172
314,Granger,Ron,4
315,Granger,Malfoy,9
316,Malfoy,Malfoy,73
317,Granger,Harry,19
318,Narcissa,Ron,2
319,Dumbledore,Narcissa,4
320,Draco,Malfoy,72
321,Malfoy,Narcissa,8
322,Narcissa,Twilfitt,4
323,Ron,Twilfitt,2
324,Malfoy,Twilfitt,3
325,Ginny,Hagrid,7
326,Hedwig,Ron,9
327,Fred,Muggle,10
328,George,Muggle,7
329,George,Ministry,2
330,Verity,Weasley,3
331,Harry,Verity,4
332,George,Hermione,10
333,Fred,Ginny,28
334,Fred,Hermione,1
335,Dean,Ginny,133
336,Dean,Harry,150
337,Ginny,one,15
338,George,one,2
339,Fred,Weasley,17
340,George,two,19
341,George,three,1
342,Fred,three,2
343,Draco,Weasley,2
344,Draco,Hermione,6
345,Draco,Ron,10
346,Malfoy,Weasley,24
347,Ginny,Malfoy,16
348,Ginny,Muggle,2
349,Hagrid,Muggle,4
350,Hermione,Malfoy,27
351,George,Malfoy,1
352,Hagrid,Malfoy,4
353,Borgin,Harry,122
354,Borgin,Draco,5
355,Borgin,Malfoy,66
356,Borgin,Hermione,9
357,Fenrir,Harry,25
358,Borgin,Fenrir,2
359,Fenrir,Malfoy,9
360,Malfoy,one,47
361,Borgin,one,12
362,Lucius,one,4
363,Borgin,Lucius,4
364,Borgin,Borgin,20
365,Lucius,Malfoy,1
366,Borgin,Ron,20
367,Hermione,Hermione,13
368,Hagrid,two,16
369,Borgin,Mark,8
370,Mark,Ron,1
371,Gabrielle,Ginny,8
372,Bill,Gabrielle,1
373,Bill,Bill,5
374,Hermione,Ministry,6
