,source,target,value
245,Ron,Slytherin,49
246,Dumbledore,Slytherin,25
247,Dumbledore,Hagrid,59
248,Ron,Severus,3
249,Harry,Severus,18
250,Severus,Snape,5
251,Slytherin,Snape,15
252,Severus,two,1
253,Ron,Snape,82
254,Snape,Snape,25
255,Snape,Weasley,8
256,Snape,one,16
257,McGonagall,Snape,41
258,McGonagall,Ron,65
259,Dumbledore,Snape,28
260,Dumbledore,Ron,47
261,Dumbledore,Dumbledore,32
262,Dumbledore,Weasley,21
263,McGonagall,Weasley,40
264,McGonagall,Severus,7
265,Dumbledore,Severus,5
266,Dumbledore,McGonagall,49
267,McGonagall,Minerva,12
268,Minerva,Snape,5
269,Dumbledore,Minerva,10
270,Snape,two,12
271,McGonagall,two,5
272,Lee,Ron,2
273,Harry,Lee,9
274,Percy,one,4
275,Seamus,second,5
276,Dean,Seamus,47
277,Dean,Neville,23
278,Neville,Seamus,6
279,Dean,second,1
280,Harry,Neville,68
281,Dean,Harry,18
282,Neville,Neville,2
283,Neville,second,15
284,Hermione,second,5
285,Errol,Neville,7
286,Neville,Ron,26
287,Neville,one,5
288,Weasley,second,2
289,Hermione,McGonagall,8
290,Gilderoy,Hermione,4
291,Gilderoy,one,2
292,one,three,6
293,Harry,Justin,121
294,Justin,Ron,28
295,Ron,Sorting,7
296,Harry,Sorting,9
297,Colin,Harry,187
298,Colin,Muggle,1
299,Colin,Hogwarts,3
300,Hogwarts,one,8
301,Colin,Malfoy,14
302,Crabbe,Malfoy,9
303,Colin,Crabbe,3
304,Creevey,Harry,11
305,Colin,Creevey,4
306,Colin,Colin,4
307,Creevey,Ron,4
308,Creevey,Ginny,4
309,Harry,Ogden,2
310,Ogden,Ron,4
311,Dean,Ron,19
312,Ron,Seamus,13
313,Hermione,Seamus,6
314,Dean,Hermione,2
315,second,three,5
316,three,two,15
317,Colin,Gilderoy,4
318,Colin,Hedwig,2
319,Colin,Ron,24
320,Harry,Oliver,35
321,Colin,two,3
322,George,two,5
323,Colin,George,4
324,Colin,three,5
325,Alicia,George,10
326,Alicia,Katie,9
327,Angelina,Katie,4
328,Alicia,Harry,3
329,Angelina,Harry,11
330,Harry,Katie,2
331,Harry,Wood,36
332,Wood,Wood,6
333,George,Oliver,10
334,Ron,Wood,2
335,Colin,one,6
336,Colin,Fred,4
337,Colin,Wood,3
338,Colin,Slytherin,2
339,Slytherin,Wood,10
340,Flint,George,5
341,Flint,Marcus,1
342,Angelina,Marcus,5
343,Alicia,Angelina,6
344,Alicia,Slytherin,3
345,Katie,Slytherin,3
346,Flint,Wood,3
347,Flint,Slytherin,14
348,Draco,Wood,2
349,Draco,Fred,9
350,Flint,Malfoy,21
351,Draco,Flint,5
352,Flint,Harry,12
353,George,Malfoy,13
354,Flint,Ron,4
355,Slytherin,Weasley,5
356,Malfoy,Slytherin,30
357,Alicia,Ron,4
358,Alicia,Hermione,1
359,Colin,Hermione,1
360,Gilderoy,Hagrid,5
361,Fang,Hagrid,8
362,Fang,Harry,39
363,Fang,Fang,1
364,Malfoy,Neville,5
365,Hagrid,two,2
366,Gladys,Harry,5
367,Harry,Seamus,19
368,Hagrid,Percy,14
369,Slytherin,one,6
370,Slytherin,Slytherin,16
371,Argus,Harry,8
372,Harry,Norris,62
373,Argus,Norris,10
374,Dumbledore,George,4
375,Norris,Peeves,7
376,Harry,Peeves,38
377,Peeves,Peeves,7
378,Peeves,one,5
379,Harry,Patrick,26
380,Filibuster,Ron,3
381,Dumbledore,three,5
382,Dumbledore,Hermione,11
383,Harry,Myrtle,131
384,Myrtle,Peeves,24
385,Granger,Myrtle,6
386,Granger,Peeves,4
387,Hermione,Peeves,2
388,Hermione,Myrtle,7
389,Peeves,Ron,1
390,Moaning,Myrtle,6
391,Patrick,Welcome,6
392,Patrick,Patrick,1
393,Norris,Ron,23
394,Argus,Malfoy,4
395,Malfoy,Norris,2
396,Hermione,Norris,9
397,Dumbledore,Granger,3
398,Dumbledore,Norris,22
399,McGonagall,Norris,2
400,Norris,Snape,4
401,Dumbledore,second,7
402,Bill,Ron,5
403,Ginny,Norris,6
404,Norris,Norris,1
405,Ginny,Hermione,15
406,Justin,Snape,10
407,Godric,Hogwarts,5
408,Godric,Salazar,1
409,Godric,Helga,5
410,Helga,Salazar,2
411,Muggle,Salazar,10
412,Helga,Muggle,3
413,Salazar,Slytherin,2
414,Muggle,Slytherin,5
415,Seamus,Slytherin,4
416,Parvati,Slytherin,4
417,Miss,Parvati,6
418,Dumbledore,Miss,5
419,Dean,Dumbledore,5
420,Harry,Salazar,27
421,Ron,Salazar,4
422,Slytherin,Sorting,13
423,Dark,Harry,8
424,Dark,Slytherin,9
425,Myrtle,Ron,46
426,Myrtle,three,6
427,Percy,three,4
428,Slytherin,three,3
429,Snape,three,9
430,Hermione,Slytherin,1
431,Hermione,Hermione,5
432,Moaning,Ron,12
433,Crabbe,Ron,35
434,Hermione,Wood,1
435,George,Slytherin,13
436,Malfoy,Wood,4
437,Fred,Wood,1
438,Fred,Slytherin,5
439,Flint,two,3
440,Adrian,George,1
441,Adrian,Slytherin,3
442,Adrian,Harry,15
443,Lee,Slytherin,10
444,George,Wood,8
445,Angelina,Oliver,1
446,Madam,Oliver,2
447,Madam,Wood,6
448,Slytherin,two,2
449,Alicia,Oliver,4
450,Oliver,Slytherin,5
451,Harry,Madam,9
452,Malfoy,second,3
453,one,second,13
454,George,Marcus,5
455,Malfoy,Marcus,6
456,Malfoy,three,14
457,Dobby,Muggle,1
458,McGonagall,one,16
459,McGonagall,second,5
460,Harry,Minerva,2
461,Colin,McGonagall,9
462,Albus,McGonagall,13
463,Albus,Colin,1
464,Albus,three,7
465,Colin,Dumbledore,12
466,McGonagall,three,3
467,Albus,Harry,4
468,Colin,Dobby,5
469,Dobby,Percy,3
470,Malfoy,McGonagall,6
471,Lucius,Ron,9
472,Colin,Ginny,9
473,Ginny,Neville,3
474,Ginny,McGonagall,7
475,McGonagall,Neville,3
476,Malfoy,Snape,34
477,Draco,Snape,12
478,Hermione,Snape,6
479,Neville,Snape,15
480,Hermione,Neville,5
481,Goyle,Harry,69
482,Goyle,Goyle,5
483,Goyle,Malfoy,39
484,Goyle,Snape,9
485,Seamus,one,6
486,Gilderoy,Snape,4
487,Justin,Neville,12
488,Finnigan,Weasley,5
489,Finnigan,Harry,6
490,three,three,1
491,Malfoy,two,9
492,Snape,second,5
493,Justin,Seamus,1
494,Hermione,Macmillan,1
495,Macmillan,Seamus,1
496,Fawcett,Macmillan,5
497,Fawcett,second,4
498,Harry,Longbottom,6
499,Finch-Fletchley,Longbottom,7
500,Finch-Fletchley,Snape,7
501,Longbottom,Snape,5
502,Finch-Fletchley,Harry,1
503,Longbottom,Neville,12
504,Finch-Fletchley,Neville,3
505,Justin,Justin,4
506,Dudley,second,3
507,Justin,Salazar,5
508,Norris,Slytherin,1
509,Colin,Norris,5
510,Justin,McGonagall,10
511,Justin,Muggle,11
512,Justin,Slytherin,5
513,Ernie,Harry,79
514,Ernie,Hannah,25
515,Ernie,Slytherin,8
516,Hannah,Harry,7
517,Hannah,Slytherin,2
518,Creevey,Ernie,1
519,Creevey,Hannah,3
520,Ernie,Justin,13
521,Ernie,Ernie,12
522,Ernie,Muggle,8
523,Ernie,Hagrid,6
524,Justin,Peeves,18
525,Ernie,McGonagall,9
526,Harry,Macmillan,12
527,Macmillan,McGonagall,5
528,Macmillan,Peeves,1
529,Ernie,Macmillan,1
530,McGonagall,Peeves,11
531,McGonagall,McGonagall,5
532,Fawkes,Harry,117
533,Goyle,Ron,40
534,Percy,Slytherin,13
535,Draco,Slytherin,15
536,Bill,Percy,3
537,Goyle,McGonagall,3
538,Goyle,one,4
539,Goyle,Slytherin,11
540,Crabbe,Goyle,13
541,Goyle,Myrtle,2
542,Crabbe,Myrtle,1
543,Goyle,Hermione,6
544,Goyle,three,5
545,Millicent,second,5
546,Millicent,Ron,2
547,Harry,Millicent,2
548,Crabbe,Harry,3
549,Goyle,two,6
550,Bulstrode,Harry,4
551,Bulstrode,two,5
552,Draco,Percy,3
553,Draco,two,1
554,Malfoy,Percy,17
555,Lucius,Muggle,10
556,Creevey,Dumbledore,3
557,Creevey,Malfoy,5
558,Granger,one,7
559,Crabbe,Granger,1
560,Harry,Moaning,19
561,Hermione,Moaning,4
562,Gilderoy,Granger,5
563,Hermione,Madam,3
564,Madam,Ron,3
565,Myrtle,Norris,2
566,Dangerous,Harry,5
567,Dangerous,Ron,4
568,Harry,Riddle,295
569,Riddle,Ron,41
570,Myrtle,Riddle,1
571,Hogwarts,Riddle,4
572,Dudley,Hogwarts,6
573,Riddle,Riddle,12
574,Percy,Riddle,4
575,Hogwarts,Justin,4
576,Justin,Madam,6
577,Madam,Norris,1
578,Gilderoy,McGonagall,2
579,Goyle,Riddle,3
580,Riddle,one,4
581,Riddle,three,2
582,second,two,4
583,Muggle,Riddle,14
584,Marvolo,Muggle,2
585,Muggle,Tom,1
586,Marvolo,Tom,8
587,Harry,Tom,28
588,Riddle,Tom,15
589,Dumbledore,Tom,5
590,Dumbledore,Riddle,23
591,Riddle,Snape,4
592,Harry,Rubeus,5
593,Riddle,Rubeus,2
594,Fluffy,three,5
595,Fluffy,Hagrid,3
596,Fluffy,Harry,1
597,Hagrid,Riddle,7
598,Hogwarts,Muggle,5
599,Hogwarts,three,1
600,Hagrid,Justin,9
601,Ernie,Peeves,5
602,Ernie,three,2
603,Charlie,Harry,4
604,Charlie,Muggle,3
605,Oliver,Ron,2
606,McGonagall,Oliver,11
607,Lee,one,1
608,Lee,Percy,6
609,George,Lee,3
610,Hagrid,Muggle,8
611,Hagrid,Neville,3
612,Dean,Hagrid,9
613,Hagrid,second,2
614,Cornelius,Ron,3
615,Cornelius,Hagrid,22
616,Cornelius,Dumbledore,11
617,Fudge,Hagrid,33
618,Cornelius,Fudge,1
619,Fudge,Muggle,2
620,Dumbledore,Muggle,4
621,Dumbledore,Fudge,27
622,Albus,Fudge,10
623,Albus,Hagrid,1
624,Fudge,Harry,6
625,Dumbledore,Lucius,21
626,Hagrid,Lucius,6
627,Fudge,Lucius,14
628,Fudge,Malfoy,7
629,Lucius,Lucius,4
630,Albus,Malfoy,4
631,Albus,Ron,1
632,Fudge,Ron,4
633,Draco,Dumbledore,3
634,Seamus,Snape,5
635,Granger,Seamus,1
636,Dean,Snape,9
637,Justin,two,5
638,Ernie,Ron,9
639,Ernie,Malfoy,2
640,Hannah,second,4
641,Hannah,Ron,2
642,Dean,Weasley,2
643,Fang,Ron,5
644,Aragog,Harry,68
645,Aragog,Ron,23
646,Aragog,Hagrid,22
647,Hagrid,Mosag,10
648,Aragog,Aragog,2
649,Moaning,Neville,1
650,McGonagall,Seamus,11
651,Longbottom,one,3
652,Longbottom,McGonagall,1
653,Dobby,Ginny,11
654,Myrtle,Percy,1
655,Granger,McGonagall,1
656,Colin,Justin,2
657,Hermione,Justin,1
658,Armenian,Harry,3
659,Harry,Olive,8
660,Myrtle,one,4
661,Ginny,Tom,10
662,Ginny,Riddle,46
663,Riddle,Weasley,6
664,Ginny,Slytherin,8
665,Riddle,Slytherin,10
666,Percy,Tom,6
667,Armando,Hagrid,5
668,Armando,Harry,4
669,Albus,Riddle,3
670,Fawkes,Riddle,16
671,Dumbledore,Fawkes,9
672,Fawkes,Ginny,9
673,Dumbledore,Salazar,2
674,Fawkes,Slytherin,2
675,Fawkes,Fawkes,4
676,Fawkes,second,2
677,Fawkes,Ron,9
678,Fawkes,Gilderoy,4
679,Ginny,Myrtle,3
680,Fawkes,McGonagall,10
681,Aragog,Moaning,6
682,McGonagall,Moaning,5
683,Dumbledore,Ginny,8
684,Dumbledore,Hogwarts,1
685,Minerva,Weasley,4
686,Dumbledore,Gilderoy,6
687,Godric,Harry,6
688,Dumbledore,Godric,1
689,Dobby,Lucius,16
690,Arthur,one,5
691,Malfoy,Riddle,3
692,Lucius,Riddle,1
693,Dobby,three,3
694,Hagrid,McGonagall,1
695,Ginny,Lucius,2
696,Fred,Penelope,4
697,Ginny,Penelope,4
698,Harry,Penelope,1
