,source,target,value
236,Hagrid,Hagrid,21
237,one,second,14
238,Harry,Selwyn,15
239,Harry,Ted,65
240,Hagrid,Ted,7
241,Ted,Ted,4
242,Arthur,Muggle,4
243,two,two,17
244,Harry,Tonks,27
245,Bellatrix,Tonks,5
246,Harry,Nymphadora,15
247,Ted,Tonks,4
248,Hagrid,Tonks,5
249,Hagrid,Portkey,5
250,Portkey,Tonks,1
251,Ginny,Weasley,60
252,Ginny,Hagrid,10
253,Hagrid,Molly,3
254,Ginny,Portkey,4
255,Fred,Portkey,5
256,Fred,second,8
257,George,Hagrid,14
258,George,Lupin,30
259,Lupin,Weasley,28
260,George,second,1
261,George,Weasley,47
262,Ginny,Lupin,12
263,Lupin,Lupin,19
264,George,George,3
265,George,Ginny,15
266,Harry,Stan,29
267,Lupin,Stan,13
268,Kingsley,Lupin,37
269,Albus,Lupin,8
270,Albus,Kingsley,1
271,Kingsley,two,10
272,Kingsley,Stan,4
273,George,Ministry,3
274,Lupin,Snape,32
275,George,Snape,18
276,George,Ron,23
277,Fred,Weasley,51
278,Bill,Weasley,52
279,Fleur,Mad-Eye,19
280,Fleur,Weasley,49
281,Hagrid,Mad-Eye,5
282,Dark,George,1
283,Dark,Weasley,5
284,Dark,Harry,14
285,Ginny,Kingsley,6
286,Weasley,Weasley,34
287,Fred,Fred,2
288,Bill,George,11
289,Lupin,Vernon,4
290,Harry,Remus,19
291,Lupin,Remus,19
292,Ron,one,152
293,Bill,Ginny,21
294,Mad-Eye,Ron,21
295,Remus,Rodolphus,2
296,Bellatrix,Rodolphus,3
297,Portkey,Rodolphus,2
298,Lupin,Portkey,4
299,Rodolphus,Ron,2
300,Portkey,Ron,6
301,Kingsley,Portkey,1
302,Molly,Weasley,19
303,Lupin,Molly,9
304,Molly,Ron,2
305,Mad-Eye,Mad-Eye,16
306,Bill,Lupin,64
307,Bill,Mad-Eye,6
308,Lupin,Mad-Eye,1
309,Fred,Mad-Eye,2
310,Kingsley,Mad-Eye,4
311,Dumbledore,Mad-Eye,13
312,Dumbledore,George,6
313,Fred,Lupin,15
314,Harry,James,112
315,James,Lupin,25
316,Lupin,Peter,10
317,Bill,Bill,21
318,Pigwidgeon,Weasley,1
319,Harry,Pigwidgeon,11
320,Mad-Eye,Sirius,5
321,Dumbledore,Sirius,10
322,Mad-Eye,Ministry,1
323,Hermione,Ron,724
324,Hermione,Weasley,34
325,Ginny,Hermione,20
326,Fleur,Ginny,12
327,Bill,Hermione,13
328,Fleur,Hermione,11
329,Dumbledore,Lupin,19
330,Hogwarts,three,12
331,Harry,Hogwarts,170
332,Weasley,one,17
333,Arthur,Ron,18
334,Arthur,Granger,5
335,Granger,Ron,3
336,Granger,Weasley,4
337,Granger,Harry,16
338,Hermione,two,25
339,three,two,38
340,Ginny,three,19
341,Hogwarts,Kingsley,2
342,Hogwarts,Weasley,2
343,Dumbledore,twenty,4
344,Dumbledore,Snape,211
345,Snape,twenty,2
346,Ginny,Snape,21
347,Ginny,Mad-Eye,3
348,Ministry,Ron,17
349,Merlin,Ron,14
350,Merlin,Weasley,3
351,Arthur,Monsieur,3
352,Ted,Weasley,4
353,Sirius,Ted,5
354,Monsieur,Weasley,11
355,Molly,Sirius,3
356,Harry,Monsieur,1
357,Molly,Monsieur,1
358,Sirius,Weasley,1
359,Ginny,one,30
360,Mad-Eye,one,1
361,Hermione,Mad-Eye,7
362,Dumbledore,one,44
363,Hagrid,Hermione,22
364,Hogwarts,two,12
365,Hogwarts,Ron,24
366,Ron,Wendell,5
367,Monica,Wendell,8
368,Harry,Monica,3
369,Hermione,second,22
370,Muggle,three,4
371,Muggle,Ron,53
372,Hermione,one,37
373,Ginny,second,2
374,Dumbledore,Merlin,9
375,Dumbledore,Slughorn,4
376,Ron,Slughorn,9
377,Harry,Slughorn,13
378,Hermione,Slughorn,3
379,Harry,Riddle,32
380,Riddle,one,5
381,Hermione,Riddle,1
382,Dumbledore,Ginny,9
383,Portkey,Weasley,8
384,Ministry,Portkey,1
385,Fleur,Ministry,1
386,Fleur,Fleur,11
387,Ministry,Weasley,10
388,Fleur,Monsieur,10
389,Monsieur,Ron,5
390,Weasley,two,13
391,Apolline,two,4
392,Monsieur,two,2
393,Apolline,Harry,4
394,Gabrielle,Weasley,15
395,Gabrielle,Monsieur,16
396,Fleur,Gabrielle,15
397,Gabrielle,Harry,12
398,Bill,Charlie,11
399,Charlie,Charlie,6
400,Charlie,Hermione,10
401,Weasley,second,19
402,Remus,Weasley,1
403,Gregorovitch,Harry,91
404,Gregorovitch,Ron,24
405,Pigwidgeon,Ron,1
406,Dragomir,Ron,8
407,Dragomir,Harry,8
408,Fabian,Ron,6
409,Fabian,Harry,5
410,Fabian,one,1
411,Bill,Monsieur,2
412,George,Monsieur,4
413,Hermione,Monsieur,1
414,Gabrielle,Hermione,1
415,George,Hermione,8
416,Ron,three,105
417,Gabrielle,three,2
418,Gwenog,one,5
419,Ginny,two,15
420,Gwenog,two,1
421,Ginny,Gwenog,3
422,Ginny,Ginny,8
423,Charlie,one,1
424,Charlie,Harry,17
425,Charlie,Weasley,8
426,Charlie,Hagrid,2
427,Fred,Tonks,1
428,Dudley,Fred,1
429,Dudley,Ron,2
430,Charlie,Ron,17
431,Rufus,Weasley,6
432,Rufus,two,2
433,Harry,Rufus,3
434,Harry,Miss,5
435,Hermione,Miss,3
436,Miss,Ron,3
437,Weasley,three,11
438,Dumbledore,Granger,9
439,Dumbledore,Hagrid,2
440,Dumbledore,Ministry,11
441,Hermione,Ministry,2
442,Godric,Harry,21
443,Godric,Ron,9
444,Dumbledore,Godric,21
445,Mad-Eye,three,4
446,Ron,Sirius,3
