,source,target,value
247,Malfoy,Weasley,43
248,Crookshanks,Malfoy,3
249,Malfoy,Ron,148
250,Lupin,Malfoy,26
251,Crookshanks,Lupin,4
252,Malfoy,one,9
253,Hermione,Lupin,58
254,Lupin,Lupin,69
255,Great,Ron,7
256,Great,Lupin,1
257,Neville,Neville,24
258,Lupin,Neville,115
259,Ginny,Lupin,1
260,Hagrid,Hermione,92
261,Longbottom,Ron,3
262,Harry,Longbottom,6
263,Longbottom,Malfoy,1
264,Lupin,Weasley,3
265,Granger,three,9
266,Granger,Harry,31
267,McGonagall,Weasley,12
268,McGonagall,McGonagall,17
269,Harry,Poppy,7
270,McGonagall,Poppy,5
271,Draco,Lupin,4
272,McGonagall,three,10
273,Madam,McGonagall,8
274,three,three,2
275,Harry,Slytherin,92
276,McGonagall,Slytherin,8
277,Dumbledore,one,11
278,Dumbledore,Ron,29
279,Lupin,two,32
280,Lupin,Snape,221
281,Lupin,second,31
282,Snape,second,10
283,Lupin,Rubeus,2
284,Rubeus,second,2
285,Hermione,Rubeus,5
286,Dumbledore,Hermione,27
287,Dumbledore,Hagrid,39
288,Dumbledore,three,19
289,Hermione,McGonagall,16
290,Hermione,Percy,9
291,Neville,Percy,3
292,Draco,Hermione,4
293,Harry,Pansy,11
294,Pansy,Slytherin,5
295,Hermione,Malfoy,9
296,Hermione,Pansy,2
297,George,George,5
298,Ron,Slytherin,8
299,George,Ron,18
300,Malfoy,Slytherin,61
301,George,Slytherin,15
302,George,Malfoy,6
303,Fred,Malfoy,15
304,Fred,Fred,2
305,Fred,Slytherin,13
306,Malfoy,Malfoy,39
307,Hagrid,McGonagall,20
308,McGonagall,one,3
309,Ron,Welcome,4
310,Harry,Welcome,2
311,Neville,Parvati,3
312,Parvati,Ron,10
313,one,second,4
314,Lavender,one,3
315,Harry,Lavender,39
316,Neville,three,12
317,Neville,one,7
318,Neville,second,9
319,Dean,Lavender,7
320,McGonagall,Neville,9
321,Granger,McGonagall,7
322,Hagrid,Malfoy,30
323,Goyle,three,1
324,Malfoy,three,9
325,Goyle,Hagrid,10
326,Draco,Hagrid,1
327,Hagrid,Lavender,3
328,Goyle,Hermione,3
329,Lavender,Parvati,32
330,Harry,Parvati,34
331,Buckbeak,Parvati,1
332,Buckbeak,Harry,260
333,Buckbeak,Malfoy,33
334,Buckbeak,one,9
335,Crabbe,Harry,14
336,Buckbeak,Hagrid,115
337,Goyle,Neville,7
338,Buckbeak,Goyle,4
339,Dean,Malfoy,4
340,Hagrid,Pansy,4
341,Hermione,second,4
342,Hagrid,second,1
343,Malfoy,McGonagall,7
344,Hagrid,Sirius,3
345,Fang,Hagrid,14
346,Fang,Harry,2
347,Draco,Pansy,4
348,Malfoy,Pansy,3
349,Goyle,Pansy,6
