,source,target,value
240,Harry,Morag,1
241,Slytherin,Weasley,1
242,Harry,Weasley,62
243,Albus,Hagrid,1
244,Harry,Lisa,4
245,Lisa,Ron,4
246,Blaise,Percy,3
247,Blaise,Slytherin,5
248,Blaise,Harry,2
249,Nicholas,Ron,1
250,Malfoy,Slytherin,22
251,Malfoy,Seamus,2
252,Muggle,Neville,4
253,Great,Neville,2
254,Great,Muggle,1
255,Great,Harry,3
256,Hermione,Percy,4
257,Percy,Snape,1
258,Harry,Snape,452
259,Dumbledore,Snape,57
260,Dumbledore,Weasley,6
261,Dumbledore,Percy,7
262,Harry,Peeves,32
263,Peeves,Percy,21
264,Neville,Peeves,13
265,Neville,Percy,11
266,Malfoy,Snape,29
267,Argus,two,1
268,Peeves,two,4
269,Argus,Peeves,4
270,Argus,Harry,4
271,Norris,Ron,25
272,Harry,Norris,43
273,Norris,Weasley,5
274,Emeric,Harry,1
275,Emeric,Uric,5
276,Harry,Uric,1
277,McGonagall,Uric,2
278,McGonagall,one,9
279,Seamus,one,6
280,Seamus,Weasley,1
281,Finnigan,Weasley,4
282,Muggle,Weasley,1
283,McGonagall,Ron,31
284,Hagrid,Hedwig,7
285,Hedwig,Snape,3
286,Hagrid,Snape,51
287,Snape,one,16
288,Draco,Goyle,6
289,Goyle,Snape,7
290,Goyle,Hagrid,2
291,McGonagall,Snape,37
292,Granger,Ron,12
293,Granger,Snape,8
294,Ron,Snape,126
295,Hermione,Snape,31
296,Seamus,Snape,4
297,Neville,Seamus,33
298,Neville,Snape,21
299,Snape,two,18
300,Hagrid,Norris,4
301,Charlie,Hagrid,11
302,Charlie,Harry,38
303,Dark,Harry,6
304,Dark,Ron,1
305,Draco,Dudley,4
306,Charlie,Seamus,1
307,Hagrid,Malfoy,31
308,Neville,Slytherin,13
309,Draco,Neville,10
310,Malfoy,McGonagall,12
311,Harry,twenty,2
312,Neville,one,5
313,Malfoy,three,1
314,Malfoy,Parvati,8
315,Longbottom,Malfoy,12
316,Longbottom,Slytherin,3
317,Parvati,Slytherin,6
318,Longbottom,Parvati,1
319,Harry,Longbottom,11
320,McGonagall,Weasley,5
321,Goyle,McGonagall,3
322,McGonagall,Peeves,6
323,Harry,Oliver,19
324,Charlie,McGonagall,5
325,McGonagall,Wood,10
326,Harry,Wood,55
327,Dumbledore,Slytherin,17
328,Severus,Slytherin,6
329,McGonagall,Severus,3
330,Harry,Severus,8
331,George,Wood,2
332,Fred,Wood,3
333,Charlie,Fred,5
334,Charlie,Lee,3
335,Gregory,Lee,5
336,Gregory,Malfoy,4
337,Malfoy,Wizard,2
338,Ron,Wizard,5
339,Malfoy,second,4
340,Dean,Harry,17
341,Dean,Seamus,12
342,Neville,Norris,6
343,Neville,three,4
344,Norris,three,1
345,Peeves,Ron,15
346,Malfoy,Weasley,23
347,Ron,Weasley,23
348,Muggle,three,2
349,Muggle,Wood,2
350,Oliver,Wood,1
351,McGonagall,three,22
352,Wood,one,3
353,Weasley,two,5
354,Charlie,Wood,3
355,Charlie,three,6
356,Harry,Parvati,8
357,Parvati,Ron,5
358,Granger,McGonagall,6
359,Snape,three,28
360,Hermione,two,7
361,Hermione,one,5
362,Hermione,three,5
363,Scabbers,one,4
364,Dean,one,2
365,Harry,Scabbers,6
366,Scabbers,Slytherin,1
367,George,Oliver,5
368,Fred,Oliver,5
369,Fred,two,1
370,Marcus,two,1
371,Flint,Harry,12
372,Harry,Marcus,15
373,Flint,Marcus,4
374,Lee,Weasley,11
375,Lee,McGonagall,6
376,Alicia,McGonagall,5
377,Alicia,Marcus,6
378,Adrian,Marcus,4
379,Adrian,Fred,5
380,Adrian,Harry,4
381,Adrian,Flint,1
382,Adrian,George,1
383,Hagrid,Wood,1
384,Angelina,Harry,5
385,Angelina,Wood,1
386,Lee,two,6
387,Lee,Marcus,4
388,Adrian,two,4
389,Fred,Marcus,1
390,Harry,Terence,7
391,Marcus,Terence,1
392,Dean,Flint,4
393,Dean,Ron,14
394,Dean,Lee,3
395,Jordan,Lee,4
396,Jordan,McGonagall,6
397,Harry,Jordan,8
398,Flint,Seamus,2
399,Hagrid,Seamus,3
400,Marcus,one,4
401,Marcus,Ron,3
402,Marcus,Snape,2
403,Hagrid,Hermione,9
404,Fluffy,Hagrid,21
405,Fluffy,Harry,46
406,Greek,Harry,6
407,Dumbledore,Greek,5
408,Greek,Hagrid,1
409,Nicolas,three,4
410,Harry,Nicolas,26
411,Draco,Weasley,1
412,Draco,one,12
413,Charlie,Weasley,4
414,Hagrid,Weasley,3
415,Hogwarts,Weasley,5
416,Snape,Weasley,3
417,Goyle,Weasley,4
418,Malfoy,one,15
419,Vernon,second,3
420,Weasley,one,5
421,Fred,one,4
422,George,Percy,8
423,Fred,Percy,6
424,Dumbledore,Fred,4
425,McGonagall,Norris,1
426,Norris,Snape,3
427,Albus,one,5
428,Dumbledore,one,7
429,Snape,Wood,1
430,George,Snape,14
431,Slytherin,Snape,8
432,George,Slytherin,1
433,Neville,Wizard,1
434,Nicolas,two,3
435,Nicolas,Perenelle,9
436,Harry,Perenelle,6
437,Ron,Wood,7
438,Fred,Snape,3
439,George,Malfoy,2
440,Longbottom,Snape,4
441,Longbottom,Neville,10
442,Goyle,Neville,8
443,Longbottom,Weasley,6
444,Hogwarts,Snape,4
445,Severus,Snape,7
446,Hagrid,Severus,3
447,Peeves,Snape,4
448,Fluffy,Snape,28
449,Fluffy,Peeves,1
450,Fluffy,Hermione,5
451,Nicolas,second,5
452,Fluffy,Ron,17
453,Fluffy,McGonagall,8
454,Hedwig,one,3
455,Hermione,Malfoy,5
456,Charlie,Hermione,1
457,Malfoy,two,9
458,Madam,Malfoy,4
459,Harry,Madam,1
460,Madam,one,3
461,Charlie,Malfoy,11
462,Hagrid,Peeves,10
463,Malfoy,twenty,2
464,Slytherin,twenty,5
465,one,three,14
466,Draco,McGonagall,4
467,Draco,Longbottom,3
468,Granger,three,1
469,Longbottom,three,5
470,Granger,Harry,6
471,Slytherin,two,12
472,Slytherin,one,8
473,Dumbledore,Hermione,12
474,Dumbledore,Fluffy,7
475,Fang,Malfoy,6
476,Fang,two,2
477,Fang,Neville,8
478,Fang,Harry,1
479,Hermione,Ronan,5
480,Hagrid,Ronan,24
481,Harry,Ronan,25
482,Ronan,two,5
483,Ronan,second,2
484,Bane,Ronan,26
485,Bane,Harry,17
486,Bane,Hagrid,3
487,Bane,Hermione,1
488,Fang,Hagrid,3
489,Bane,two,1
490,Firenze,Hagrid,8
491,Firenze,Harry,60
492,Bane,Firenze,37
493,Firenze,Ronan,11
494,Firenze,Ron,3
495,Fluffy,one,2
496,Elfric,Harry,3
497,Elfric,Ron,4
498,Lee,Ron,8
499,Fluffy,Neville,5
500,Hogwarts,three,4
501,Fluffy,Hogwarts,3
502,Fluffy,three,8
503,Dumbledore,Firenze,4
504,Bane,Dumbledore,3
505,Hogwarts,two,1
506,Hagrid,Lee,1
507,Neville,Trevor,5
508,Trevor,one,3
509,Harry,Trevor,2
510,Norris,Peeves,4
511,Hedwig,Ron,7
512,Dumbledore,Hedwig,8
513,second,two,3
514,Fluffy,Hedwig,4
515,Draco,Dumbledore,2
516,Draco,Slytherin,1
517,Hogwarts,McGonagall,1
518,Dumbledore,Malfoy,1
519,Fred,Hagrid,5
520,Fred,Neville,1
521,Ginny,Ron,6
522,Ginny,Weasley,5
523,Dudley,Weasley,1
