,source,target,value
241,Ron,Terry,1
242,Slytherin,Slytherin,12
243,Dudley,Slytherin,3
244,Dudley,Finch-Fletchley,1
245,Finch-Fletchley,Justin,5
246,Finch-Fletchley,Harry,6
247,Harry,Justin,3
248,Finnigan,Harry,5
249,Finnigan,Seamus,10
250,Harry,Seamus,56
251,Ron,Seamus,5
252,McGonagall,Neville,23
253,Morag,Neville,5
254,Neville,Neville,23
255,Malfoy,Morag,3
256,Malfoy,Neville,52
257,Malfoy,Malfoy,27
258,Harry,Morag,1
259,Slytherin,Weasley,1
260,Harry,Weasley,62
261,Albus,Hagrid,1
262,Harry,Lisa,4
263,Lisa,Ron,4
264,Blaise,Percy,3
265,Blaise,Slytherin,5
266,Blaise,Harry,2
267,Nicholas,Ron,1
268,Malfoy,Slytherin,22
269,Malfoy,Seamus,2
270,Muggle,Neville,4
271,Great,Neville,2
272,Great,Muggle,1
273,Great,Harry,3
274,Hermione,Percy,4
275,Percy,Snape,1
276,Harry,Snape,452
277,Dumbledore,Snape,57
278,Snape,Snape,26
279,Dumbledore,Weasley,6
280,Dumbledore,Percy,7
281,Harry,Peeves,32
282,Peeves,Percy,21
283,Neville,Peeves,13
284,Neville,Percy,11
285,Malfoy,Snape,29
286,Argus,two,1
287,Peeves,two,4
288,Argus,Peeves,4
289,Argus,Harry,4
290,Norris,Ron,25
291,Harry,Norris,43
292,Norris,Weasley,5
293,Emeric,Harry,1
294,Emeric,Uric,5
295,Harry,Uric,1
296,McGonagall,Uric,2
297,McGonagall,one,9
298,Seamus,one,6
299,Seamus,Weasley,1
300,Finnigan,Weasley,4
301,Muggle,Weasley,1
302,McGonagall,Ron,31
303,Hagrid,Hedwig,7
304,Hedwig,Snape,3
305,Hagrid,Snape,51
306,Snape,one,16
307,Draco,Goyle,6
308,Goyle,Snape,7
309,Goyle,Hagrid,2
310,McGonagall,Snape,37
311,Granger,Ron,12
312,Granger,Snape,8
313,Ron,Snape,126
314,Hermione,Snape,31
315,Seamus,Seamus,9
316,Seamus,Snape,4
317,Neville,Seamus,33
318,Neville,Snape,21
319,Snape,two,18
320,Hagrid,Norris,4
321,Charlie,Hagrid,11
322,Charlie,Harry,38
323,Dark,Harry,6
324,Dark,Ron,1
325,Draco,Dudley,4
326,Charlie,Seamus,1
327,Hagrid,Malfoy,31
328,Neville,Slytherin,13
329,Draco,Neville,10
330,Malfoy,McGonagall,12
331,Harry,twenty,2
332,Neville,one,5
333,Malfoy,three,1
334,Malfoy,Parvati,8
335,Longbottom,Malfoy,12
336,Longbottom,Slytherin,3
337,Parvati,Slytherin,6
338,Longbottom,Parvati,1
339,Harry,Longbottom,11
340,McGonagall,Weasley,5
341,Goyle,McGonagall,3
342,McGonagall,Peeves,6
343,Harry,Oliver,19
344,Charlie,McGonagall,5
345,McGonagall,Wood,10
346,Harry,Wood,55
347,Dumbledore,Slytherin,17
348,Severus,Slytherin,6
349,McGonagall,Severus,3
350,Harry,Severus,8
351,George,Wood,2
352,Fred,Wood,3
353,Charlie,Fred,5
354,Charlie,Lee,3
355,Gregory,Lee,5
356,Gregory,Malfoy,4
357,Malfoy,Wizard,2
358,Ron,Wizard,5
359,Malfoy,second,4
360,second,second,6
361,Dean,Harry,17
362,Dean,Seamus,12
363,Neville,Norris,6
364,Neville,three,4
365,Norris,three,1
366,Peeves,Ron,15
367,three,three,4
368,Malfoy,Weasley,23
369,Ron,Weasley,23
370,Muggle,three,2
371,Muggle,Wood,2
372,Oliver,Wood,1
373,McGonagall,three,22
374,Wood,one,3
375,Weasley,two,5
376,Charlie,Wood,3
377,Charlie,three,6
378,Harry,Parvati,8
379,Parvati,Ron,5
380,Granger,McGonagall,6
381,Snape,three,28
382,Hermione,two,7
383,Hermione,one,5
384,Hermione,three,5
385,Scabbers,one,4
386,Dean,one,2
387,Harry,Scabbers,6
388,Scabbers,Slytherin,1
389,George,Oliver,5
390,Fred,Oliver,5
391,Fred,two,1
392,Marcus,two,1
393,Flint,Harry,12
394,Harry,Marcus,15
395,Flint,Marcus,4
396,Lee,Weasley,11
397,Lee,McGonagall,6
398,Alicia,McGonagall,5
399,Alicia,Marcus,6
400,Adrian,Marcus,4
401,Adrian,Fred,5
402,Adrian,Harry,4
403,Adrian,Flint,1
404,Adrian,George,1
405,Hagrid,Wood,1
406,Angelina,Harry,5
407,Angelina,Wood,1
408,Lee,two,6
409,two,two,5
410,Lee,Marcus,4
411,Adrian,two,4
