,character,firstname
1175,Mary Lou Barebone,Mary
1176,Mary MacDonald,Mary
1177,Masaki Hongo,Masaki
1178,and Mason,and
1179,Matilda Dukelow,Matilda
1180,Mauler,Mauler
1181,Olympe Maxime,Olympe
1182,Maximillian Crowdy,Maximillian
1183,Maximus Brankovitch III,Maximus
1184,Dougal McBride,Dougal
1185,McClaggan,McClaggan
1186,McClivert Clan,McClivert
1187,Catriona McCormack,Catriona
1188,Meaghan McCormack,Meaghan
1189,Natalie McDonald,Natalie
1190,Elizabeth McGilliguddy,Elizabeth
1191,McGonagall family,McGonagall
1192,Minerva McGonagall,Minerva
1193,"Robert McGonagall, The Reverend",Robert
1194,Jim McGuffin,Jim
1195,Cormac McLaggen,Cormac
1196,Lorcan McLaird,Lorcan
1197,Cormack McLeod,Cormack
1198,Dugald McPhail,Dugald
1199,Quintia McQuoid,Quintia
1200,Tarquin McTavish,Tarquin
1201,Dorcas Meadowes,Dorcas
1202,Megan Jones,Megan
1203,Melania Macmillan,Melania
1204,Araminta Meliflua,Araminta
1205,Melinda Bobbin,Melinda
1206,Melusine,Melusine
1207,members of the Accidental Magic Reversal Squad,members
1208,Mercy Ojukwu,Mercy
1209,Mercy Wardwell,Mercy
1210,Merlin,Merlin
1211,Merope Gaunt,Merope
1212,Galatea Merrythought,Galatea
1213,Merton Graves,Merton
1214,Mervyn Fenwick,Mervyn
1215,Merwyn the Malicious,Merwyn
1216,Mentor Metaxas,Mentor
1217,Michael Corner,Michael
1218,Eloise Midgen/Eloise Midgeon,Eloise
1219,Miles Bletchley,Miles
1220,Luc Millefeuille,Luc
1221,Millicent Bagnold,Millicent
1222,Millicent Bulstrode,Millicent
1223,Hortensia Milliphutt,Hortensia
1224,Milly,Milly
1225,Minette Lestrange,Minette
1226,Ministry wizard dealing with Archie,Ministry
1227,Ministry wizard dealing with toy broomstick incident,Ministry
1228,Ministry wizard in plus-fours,Ministry
1229,Ministry wizards who carry the World Cup up to the Top Box,Ministry
1230,Ministry wizards who separate the Veela from the Leprechauns,Ministry
1231,Ministry wizard in tweed suit and galoshes with large gold watch,Ministry
1232,Mirabella Plunkett,Mirabella
1233,Miranda Goshawk ,Miranda
1234,Miranda Goshawk ,Miranda
1235,Miriam Strout,Miriam
1236,Jacques Miskine,Jacques
1237,Mnemone Radford,Mnemone
1238,Cuthbert Mockridge,Cuthbert
1239,Modesty Barebone,Modesty
1240,Modesty Rabnott,Modesty
1241,Arnulf Moe,Arnulf
1242,Eupraxia Mole,Eupraxia
1243,Lilith Molesby,Lilith
1244,Molly Weasley ,Molly
1245,Molly Weasley,Molly
1246,Momolou Wotorson,Momolou
1247,Monica Wilkins,Monica
1248,Monsieur Delacour,Monsieur
1249,and Montague,and
1250,Montague,Montague
1251,Montague Knightly,Montague
1252,Montgomery sisters,Montgomery
1253,Mad-Eye Moody,Mad-Eye
1254,Dennis Moon,Dennis
1255,Regulus Moonshine,Regulus
1256,Mopsus ,Mopsus
1257,Mopsus ,Mopsus
1258,Mopsy Fleabert,Mopsy
1259,Moran,Moran
1260,Ethelbald Mordaunt,Ethelbald
