,character,firstname
1771,Terence Higgs,Terence
1772,Terry Boot,Terry
1773,Tertius,Tertius
1774,Theodard Fontaine,Theodard
1775,Theodore Nott,Theodore
1776,Theophilus Abbott,Theophilus
1777,Theseus Scamander,Theseus
1778,Thiago Quintana,Thiago
1779,Janus Thickey,Janus
1780,Pius Thicknesse,Pius
1781,and Thomas,and
1782,Dean Thomas,Dean
1783,Thorfinn Rowle,Thorfinn
1784,Thornton Harkaway,Thornton
1785,Thorsten Pfeffer,Thorsten
1786,one hundred thousand spectators at the World Cup,one
1787,Orsino Thruston,Orsino
1788,Thaddeus Thurkell,Thaddeus
1789,Tibbles,Tibbles
1790,Tiberius,Tiberius
1791,Tiberius Ogden,Tiberius
1792,Albert Tillyman,Albert
1793,Violet Tillyman,Violet
1794,Tilly Toke,Tilly
1795,Timothy Blenkinsop,Timothy
1796,Tina Goldstein,Tina
1797,tiny old wizard in violet cloak,tiny
1798,title,title
1799,Titus,Titus
1800,Tobias Snape,Tobias
1801,Sidney Todd,Sidney
1802,Todoroki,Todoroki
1803,Achilles Tolliver,Achilles
1804,Tom,Tom
1805,Tom ,Tom
1806,Tom Marvolo Riddle,Tom
1807,Tom Riddle Sr.,Tom
1808,Andromeda Tonks,Andromeda
1809,Ted Tonks,Ted
1810,Tonks family,Tonks
1811,Tony Silva,Tony
1812,Alberta Toothill,Alberta
1813,Tilden Toots,Tilden
1814,Torquil MacTavish,Torquil
1815,Kenneth Towler,Kenneth
1816,Tracey Davis,Tracey
1817,Travers,Travers
1818,Travers family,Travers
1819,Torquil Travers,Torquil
1820,Cassandra Trelawney,Cassandra
1821,Sybill Trelawney,Sybill
1822,Trevor,Trevor
1823,Trocar,Trocar
1824,Troy,Troy
1825,Queen Elizabeth I,Queen
1826,Tuft Family,Tuft
1827,Tufty,Tufty
1828,Tufty-haired man who gives Dumbledore's eulogy,Tufty-haired
1829,Sacharissa Tugwood,Sacharissa
1830,Adrian Tutley,Adrian
1831,Aristotle Twelvetrees,Aristotle
1832,Dorcus Twelvetrees,Dorcus
1833,twenty Ministry wizards,twenty
1834,Mallory Twiddle,Mallory
1835,Twilfitt,Twilfitt
1836,Wilkie Twycross,Wilkie
1837,Ugga,Ugga
1838,Ug the Unreliable,Ug
1839,Ulick Gamp,Ulick
1840,Dolores Umbridge's brother,Dolores
1841,Dolores Umbridge,Dolores
1842,Umbridge family,Umbridge
1843,Quintius Umfraville,Quintius
1844,Uncle Bilius,Uncle
1845,Uncle Nobby,Uncle
1846,Unctuous Osbert,Unctuous
1847,Albanian peasant,Albanian
1848,Muggle tramp,Muggle
1849,two unnamed Muggles in London,two
1850,unnamed witch in Bath,unnamed
1851,Urg the Unclean,Urg
1852,Uric the Oddball,Uric
1853,Elphinstone Urquart,Elphinstone
1854,Urquhart,Urquhart
1855,Urquhart Rackharrow,Urquhart
1856,Ursula Flint,Ursula
1857,Vaisey,Vaisey
1858,Valentina Vázquez,Valentina
1859,Valmai Morgan,Valmai
1860,vampire now unable to eat anything but lettuce,vampire
1861,Emmeline Vance,Emmeline
1862,Romilda Vane,Romilda
1863,Vargot,Vargot
1864,Nikola Vassileva,Nikola
1865,Venusia Crickerly,Venusia
1866,Verity,Verity
1867,Vernon Dudley,Vernon
1868,Vernon Dursley,Vernon
1869,Veronica Smethley,Veronica
1870,Vicky Frobisher,Vicky
1871,Victoire Weasley,Victoire
1872,Queen Victoria,Queen
1873,Viktor Krum,Viktor
1874,Vincent Duc de Trefle-Picques,Vincent
1875,Vincent Crabbe,Vincent
1876,Vinda Rosier,Vinda
1877,Violet,Violet
1878,Violetta Beauvais,Violetta
1879,Violetta Bulstrode,Violetta
1880,Violetta Hobday,Violetta
1881,Violet Tillyman,Violet
1882,Vindictus Viridian,Vindictus
1883,Count Vlad Drakul,Count
1884,Volkov,Volkov
1885,Luciano Volpi,Luciano
1886,Vulchanov,Vulchanov
1887,Nerida Vulchanova,Nerida
1888,Boris Vulchanov,Boris
1889,Vulchanov family,Vulchanov
1890,Joscelind Wadcock,Joscelind
1891,Adalbert Waffling,Adalbert
1892,Wagga Wagga Werewolf,Wagga
1893,Honest Willy Wagstaff,Honest
1894,Myron Wagtail,Myron
1895,Wailing Widow,Wailing
1896,Yoshi Wakahisa,Yoshi
1897,Wakanda,Wakanda
1898,Walburga Black,Walburga
1899,Walden Macnair,Walden
1900,Walter Parkin,Walter
1901,Wand-shine Elf,Wand-shine
1902,Karl Wang,Karl
1903,Celestina Warbeck,Celestina
1904,Irving Warble,Irving
1905,Mercy Wardwell,Mercy
1906,Moaning Myrtle,Moaning
1907,Warrington,Warrington
1908,Warty Harris,Warty
1909,Fabius Watkins,Fabius
1910,Wayne Hopkins,Wayne
1911,Arthur Weasley,Arthur
1912,Audrey Weasley,Audrey
1913,Charlie Weasley,Charlie
1914,Dominique Weasley,Dominique
1915,Weasley family,Weasley
1916,Fred Weasley ,Fred
1917,Fred Weasley,Fred
1918,George Weasley,George
1919,Ginny Weasley,Ginny
1920,Louis Weasley,Louis
1921,Lucy Weasley,Lucy
1922,Molly Weasley ,Molly
1923,Molly Weasley,Molly
1924,Panju Weasley,Panju
1925,Percy Weasley,Percy
1926,Ron Weasley,Ron
1927,Roxanne Weasley,Roxanne
1928,Septimus Weasley,Septimus
1929,Victoire Weasley,Victoire
1930,Bill Weasley,Bill
1931,Weatherby,Weatherby
1932,Webster Boot,Webster
1933,Webster Boot's wife,Webster
1934,Helmut Weiss,Helmut
1935,Dorcas Wellbeloved,Dorcas
1936,Wendelin the Weird,Wendelin
1937,Wendell Wilkins,Wendell
1938,Bridget Wenlock,Bridget
1939,Willi Wenzel,Willi
1940,Kennilworthy Whisp,Kennilworthy
1941,Devlin Whitehorn,Devlin
1942,Samson Wiblin,Samson
1943,Dempster Wiggleswade,Dempster
1944,Wilhelm Wigworthy,Wilhelm
1945,Wilbert Slinkhard,Wilbert
1946,Wilda Griffiths,Wilda
1947,Ignatia Wildsmith,Ignatia
1948,Wilfred Elphick,Wilfred
1949,Wilfred the Wistful,Wilfred
1950,Wilhelm Fischer,Wilhelm
1951,Wilhelmina Grubbly-Plank,Wilhelmina
1952,Wilhelmina Tuft,Wilhelmina
1953,Wilkes,Wilkes
1954,Wilkie Twycross,Wilkie
1955,Monica Wilkins,Monica
1956,Charity Wilkinson,Charity
1957,William,William
1958,William Sayre,William
1959,Benjy Williams,Benjy
1960,Williamson,Williamson
1961,Heliotrope Willis,Heliotrope
1962,Willy Widdershins,Willy
1963,Gilbert Wimple,Gilbert
1964,Winkus Oddpick,Winkus
1965,Winky,Winky
1966,Winston Churchill,Winston
1967,Herman Wintringham,Herman
1968,Welcome Witch,Welcome
1969,witch who asked Barty Crouch Sr. to get a grip,witch
1970,Witch who banished the Bandon Banshee,Witch
1971,witch with a hairy chin,witch
1972,witch at Inquiries desk At St. Mungo's,witch
1973,Witherwings,Witherwings
1974,wizard claiming to have flown to the moon on a Cleansweep 6,wizard
1975,wizarding souvenir sellers,wizarding
1976,Wizard in a Purple Porkpie Hat,Wizard
1977,some wizards folk who Apparated without a license,some
1978,wizard with a walrus moustache,wizard
1979,Shikoba Wolfe,Shikoba
1980,Wladyslaw Wolfke,Wladyslaw
1981,Wood family,Wood
1982,Oliver Wood,Oliver
1983,Wool Woman,Wool
1984,World Cup Mediwizards,World
1985,Wormtail,Wormtail
1986,Eldred Worple,Eldred
1987,Momolou Wotorson,Momolou
1988,Bowman Wright,Bowman
1989,Josef Wronski,Josef
1990,Wyvern of Wye,Wyvern
1991,Xavier Rastrick,Xavier
1992,Georgios Xenakis,Georgios
1993,Xenophilius Lovegood,Xenophilius
1994,Ryuichi Yamaguchi,Ryuichi
1995,Yann Fredericks,Yann
1996,Yardley Platt,Yardley
1997,Corban Yaxley,Corban
1998,Yaxley family,Yaxley
1999,several fifth-year girls,several
2000,two first-year girls frightened into hysterics by Filch,two
2001,yeti with a head-cold,yeti
2002,Yoshi Wakahisa,Yoshi
2003,Cyprian Youdle,Cyprian
2004,Young Red-Haired Witch,Young
2005,two young witches on toy broomsticks,two
2006,Yusuf Kama,Yusuf
2007,Yvonne,Yvonne
2008,Blaise Zabini,Blaise
2009,Zacharias Smith,Zacharias
2010,Zacharias Smith's father,Zacharias
2011,Zacharias Mumps,Zacharias
2012,Rawya Zaghloul,Rawya
2013,Zamira Gulch,Zamira
2014,Ladislaw Zamojski,Ladislaw
2015,Georgi Zdravko,Georgi
2016,Zograf,Zograf
2017,Zonko,Zonko
2018,Valentina Vázquez,Valentina
2019,Zygmunt Budge,Zygmunt
